Date,US.GOVT.B,US.GOVT.13,US.GOVT,US.AGG,GL.AGG.H,US.MBS,US.CORP,US.CORP.IND,US.CORP.FIN,US.CORP.UTIL,US.HY,EMD.USD,US.EQ,GL.EQ,AC.EQ,EM.EQ,HF.FOFD,HF.EVENT,HF.EQUITY,HF.RV,HF.MACRO,REIT,US.PE,GOLD,COMDTY
2001-11-30,162.38,345.4679,438.8585,1015.72,258.0644,1059.13,1210.79,1177.76,1227.5,1239.66,546.65,196.63,1139.45,997.93,238,294.43,3120.8905,5815.0718,9033.482,4647.0411,6937.8151,1456.214,15281.86,274.4,151.834
2001-12-31,162.64,345.6187,434.6658,1009.27,256.3274,1055.14,1202.03,1171.42,1218.81,1218.67,544.42,198.98,1148.08,1003.52,240.03,317.4,3153.6599,5902.8793,9213.2483,4674.9233,7042.5761,1494.651,16423.59,278.95,148.843
2002-01-31,162.87,346.3094,437.5098,1017.44,257.5343,1064.91,1212.23,1179.71,1229.87,1235.47,548.21,202.66,1130.2,972.42,233.26,327.75,3167.983,5949.2617,9233.952,4722.9108,7071.5432,1500.339,16643.54,282.55,147.842
2002-02-28,163.1,347.9952,441.5615,1027.3,258.9035,1077.03,1220.23,1185.22,1242.63,1239.28,540.56,210.26,1106.73,962.73,231.21,332.77,3164.8941,5867.714,9151.632,4724.8968,6986.1259,1527.496,15743.87,296.55,151.673
2002-03-29,163.33,345.4973,430.8068,1010.21,256.1642,1065.62,1197.56,1159.89,1223.12,1221.21,553.57,210.49,1147.39,1003.6,241.17,351.43,3187.349,5979.8685,9337.15,4754.8172,7133.6559,1618.94,17139.57,302.65,167.182
2002-04-30,163.61,349.4856,441.3574,1029.8,259.6117,1085.8,1212.66,1163.89,1250.9,1249.11,562.2,212.56,1076.92,968.25,233.13,352.84,3208.4695,5996.3867,9352.6209,4782.9567,7161.4772,1640.205,17380.83,308.45,167.183
2002-05-31,163.88,350.8334,443.9075,1038.55,260.8321,1093.68,1229.72,1182.14,1269.82,1252.06,559.3,211.46,1067.14,967.85,232.82,346.28,3225.0398,5976.58,9352.7932,4793.0019,7295.6654,1663.909,17182.01,326.55,164.612
2002-06-28,164.14,353.8595,450.1662,1047.53,263.5455,1102.7,1229.84,1175.04,1279.57,1254.69,518.06,200.79,989.81,907.81,218.25,319.75,3196.7016,5748.2376,9106.701,4783.9258,7383.3379,1709.474,16704.78,314.45,167.805
2002-07-31,164.38,358.2336,460.7544,1060.17,266.3024,1115.32,1225.37,1178.12,1290.78,1157.25,495.43,191.7,911.62,830.55,199.73,294.62,3150.449,5498.2162,8748.837,4774.5339,7358.3379,1623.17,14633.57,303.55,166.896
2002-08-30,164.62,359.3359,470.4986,1078.07,270.1214,1124.09,1257.87,1213.11,1312.52,1214.06,509.56,205.73,916.07,830.58,199.85,298.89,3161.1111,5518.511,8773.6653,4807.1797,7404.6352,1622.776,14520.62,312.75,173.472
2002-09-30,164.88,362.3909,483.1682,1095.53,273.7467,1132.07,1281.86,1241.17,1334.56,1223.22,502.87,200.03,815.28,738.18,177.63,266.11,3149.451,5436.3853,8601.5794,4821.187,7473.6359,1558.643,13584.88,323.55,180.005
2002-10-31,165.12,363.2132,477.6681,1090.54,273.0486,1136.4,1264.65,1233.46,1312.48,1177.07,498.48,212.34,885.76,791.88,190.49,283.16,3140.4717,5474.5492,8649.3765,4841.1561,7350.6886,1487.432,14011.94,317.75,178.148
